group,episode,offset,frame_idx,mahalanobis
obtain_spawn,ep001_1784647943879,0.0,0,7.164889
obtain_coverage,0,0.0,0,6.484330
obtain_coverage,0,0.1,40,5.332896
obtain_coverage,0,0.25,100,9.328080
obtain_coverage,0,0.5,200,17.425599
obtain_coverage,1,0.0,400,11.396422
obtain_coverage,1,0.1,440,9.860101
obtain_coverage,1,0.25,500,10.673040
obtain_coverage,1,0.5,600,10.190960
obtain_coverage,2,0.0,800,9.320822
obtain_coverage,2,0.1,840,10.106752
obtain_coverage,2,0.25,900,13.354849
obtain_coverage,2,0.5,1000,12.718958
obtain_coverage,3,0.0,1200,8.124447
obtain_coverage,3,0.1,1240,10.919134
obtain_coverage,3,0.25,1300,11.852623
obtain_coverage,3,0.5,1400,8.814547
obtain_coverage,4,0.0,1600,9.185212
obtain_coverage,4,0.1,1640,9.348421
obtain_coverage,4,0.25,1700,18.411187
obtain_coverage,4,0.5,1800,11.517304
obtain_coverage,5,0.0,2000,11.575740
obtain_coverage,5,0.1,2040,10.731931
obtain_coverage,5,0.25,2100,11.062720
obtain_coverage,5,0.5,2200,8.629461
obtain_coverage,6,0.0,2400,7.675761
obtain_coverage,6,0.1,2440,7.414752
obtain_coverage,6,0.25,2500,10.671737
obtain_coverage,6,0.5,2600,6.176209
obtain_coverage,7,0.0,2800,12.331425
obtain_coverage,7,0.1,2840,15.388354
obtain_coverage,7,0.25,2900,11.881087
obtain_coverage,7,0.5,3000,9.151451
obtain_coverage,8,0.0,3200,10.939357
obtain_coverage,8,0.1,3240,10.424680
obtain_coverage,8,0.25,3300,11.938886
obtain_coverage,8,0.5,3400,11.988338
obtain_coverage,9,0.0,3600,17.029546
obtain_coverage,9,0.1,3640,14.673616
obtain_coverage,9,0.25,3700,11.215626
obtain_coverage,9,0.5,3800,14.669951
obtain_coverage,10,0.0,4000,11.493831
obtain_coverage,10,0.1,4040,9.172546
obtain_coverage,10,0.25,4100,8.955187
obtain_coverage,10,0.5,4200,9.176785
obtain_coverage,11,0.0,4400,10.228479
obtain_coverage,11,0.1,4440,6.945946
obtain_coverage,11,0.25,4500,9.819485
obtain_coverage,11,0.5,4600,10.137940
obtain_coverage,12,0.0,4800,5.904984
obtain_coverage,12,0.1,4840,5.703084
obtain_coverage,12,0.25,4900,5.871029
obtain_coverage,12,0.5,5000,5.530041
obtain_coverage,13,0.0,5200,14.601332
obtain_coverage,13,0.1,5240,10.579366
obtain_coverage,13,0.25,5300,10.352377
obtain_coverage,13,0.5,5400,12.307402
obtain_coverage,14,0.0,5600,10.084923
obtain_coverage,14,0.1,5640,10.223005
obtain_coverage,14,0.25,5700,10.689692
obtain_coverage,14,0.5,5800,11.008481
obtain_coverage,15,0.0,6000,7.215470
obtain_coverage,15,0.1,6040,6.145292
