group,episode,offset,frame_idx,depth_score
obtain_spawn,ep001_1784647943879,0.0,0,631.020264
obtain_coverage,0,0.0,0,732.862854
obtain_coverage,0,0.1,40,647.421204
obtain_coverage,0,0.25,100,739.812012
obtain_coverage,0,0.5,200,541.293457
obtain_coverage,1,0.0,400,456.573059
obtain_coverage,1,0.1,440,598.110718
obtain_coverage,1,0.25,500,509.338928
obtain_coverage,1,0.5,600,774.418701
obtain_coverage,2,0.0,800,1016.942749
obtain_coverage,2,0.1,840,688.941162
obtain_coverage,2,0.25,900,815.208618
obtain_coverage,2,0.5,1000,826.394409
obtain_coverage,3,0.0,1200,477.597809
obtain_coverage,3,0.1,1240,610.198975
obtain_coverage,3,0.25,1300,750.049744
obtain_coverage,3,0.5,1400,714.473022
obtain_coverage,4,0.0,1600,640.534790
obtain_coverage,4,0.1,1640,497.183228
obtain_coverage,4,0.25,1700,373.327393
obtain_coverage,4,0.5,1800,342.161224
obtain_coverage,5,0.0,2000,540.088379
obtain_coverage,5,0.1,2040,520.851135
obtain_coverage,5,0.25,2100,525.803040
obtain_coverage,5,0.5,2200,358.538666
obtain_coverage,6,0.0,2400,688.860352
obtain_coverage,6,0.1,2440,773.456299
obtain_coverage,6,0.25,2500,431.905792
obtain_coverage,6,0.5,2600,526.730835
obtain_coverage,7,0.0,2800,637.111755
obtain_coverage,7,0.1,2840,693.244324
obtain_coverage,7,0.25,2900,940.171082
obtain_coverage,7,0.5,3000,725.720215
obtain_coverage,8,0.0,3200,596.570068
obtain_coverage,8,0.1,3240,634.108276
obtain_coverage,8,0.25,3300,577.239380
obtain_coverage,8,0.5,3400,420.120331
obtain_coverage,9,0.0,3600,758.943604
obtain_coverage,9,0.1,3640,487.555969
obtain_coverage,9,0.25,3700,514.636047
obtain_coverage,9,0.5,3800,620.999756
obtain_coverage,10,0.0,4000,293.638763
obtain_coverage,10,0.1,4040,551.113098
obtain_coverage,10,0.25,4100,797.696350
obtain_coverage,10,0.5,4200,831.868896
obtain_coverage,11,0.0,4400,618.249634
obtain_coverage,11,0.1,4440,683.802124
obtain_coverage,11,0.25,4500,583.521240
obtain_coverage,11,0.5,4600,544.852051
obtain_coverage,12,0.0,4800,675.304688
obtain_coverage,12,0.1,4840,681.874390
obtain_coverage,12,0.25,4900,765.686890
obtain_coverage,12,0.5,5000,861.150574
obtain_coverage,13,0.0,5200,684.516357
obtain_coverage,13,0.1,5240,1043.473755
obtain_coverage,13,0.25,5300,715.811279
obtain_coverage,13,0.5,5400,347.829529
obtain_coverage,14,0.0,5600,714.757629
obtain_coverage,14,0.1,5640,603.066223
obtain_coverage,14,0.25,5700,796.108215
obtain_coverage,14,0.5,5800,561.917114
obtain_coverage,15,0.0,6000,692.827148
obtain_coverage,15,0.1,6040,470.621643
obtain_coverage,15,0.25,6100,940.105530
obtain_coverage,15,0.5,6200,443.880432
obtain_coverage,16,0.0,6400,921.969299
obtain_coverage,16,0.1,6440,696.111694
obtain_coverage,16,0.25,6500,805.048950
obtain_coverage,16,0.5,6600,872.942261
obtain_coverage,17,0.0,6800,428.289429
obtain_coverage,17,0.1,6840,952.527954
obtain_coverage,17,0.25,6900,600.567200
obtain_coverage,17,0.5,7000,745.398376
obtain_coverage,18,0.0,7200,523.791565
obtain_coverage,18,0.1,7240,783.968445
obtain_coverage,18,0.25,7300,927.035767
obtain_coverage,18,0.5,7400,1152.092773
obtain_coverage,19,0.0,7600,572.348999
obtain_coverage,19,0.1,7640,552.073669
obtain_coverage,19,0.25,7700,634.050903
obtain_coverage,19,0.5,7800,677.841553
