group,episode,offset,frame_idx,goal_score_std,score_range
treechop,5,0.0,11352,0.04623480,0.28747892
treechop,5,0.1,11553,0.02094548,0.10259962
treechop,5,0.25,11855,0.01732851,0.11179566
treechop,5,0.5,12358,0.00696631,0.03576016
treechop,7,0.0,15807,0.03957269,0.26508904
treechop,7,0.1,16008,0.00939572,0.07468152
treechop,7,0.25,16310,0.00438261,0.02834582
treechop,7,0.5,16813,0.02371169,0.14884377
treechop,12,0.0,26736,0.03972527,0.24688458
treechop,12,0.1,26980,0.00088961,0.00455904
treechop,12,0.25,27345,0.00233945,0.01601267
treechop,12,0.5,27954,0.02239333,0.11280537
treechop,15,0.0,33352,0.03088612,0.16740108
treechop,15,0.1,33566,0.00510103,0.02864313
treechop,15,0.25,33886,0.00336836,0.01966906
treechop,15,0.5,34421,0.00798671,0.04374933
treechop,16,0.0,35491,0.01798882,0.12574148
treechop,16,0.1,35795,0.00198275,0.01013875
treechop,16,0.25,36250,0.00562087,0.03585267
treechop,16,0.5,37009,0.00289553,0.01688957
treechop,18,0.0,42663,0.02275902,0.11578918
treechop,18,0.1,42919,0.00480964,0.02897692
treechop,18,0.25,43302,0.01009551,0.06332374
treechop,18,0.5,43941,0.01671032,0.08793950
treechop,33,0.0,72013,0.01984589,0.09647870
treechop,33,0.1,72228,0.01509030,0.11034775
treechop,33,0.25,72551,0.00090177,0.00512147
treechop,33,0.5,73089,0.00413141,0.02336049
treechop,37,0.0,80473,0.03124367,0.17973852
treechop,37,0.1,80667,0.00395623,0.02137470
treechop,37,0.25,80959,0.00844900,0.06400108
treechop,37,0.5,81445,0.00444732,0.02581620
treechop,45,0.0,98880,0.01062011,0.05794096
treechop,45,0.1,99033,0.01079435,0.06123471
treechop,45,0.25,99262,0.00248288,0.01392579
treechop,45,0.5,99644,0.00651451,0.03404772
treechop,52,0.0,110292,0.02306719,0.11740494
treechop,52,0.1,110460,0.00471063,0.02734089
treechop,52,0.25,110712,0.01558763,0.09319830
treechop,52,0.5,111132,0.00105747,0.00536847
treechop,55,0.0,115879,0.00548520,0.03192639
treechop,55,0.1,116032,0.00100834,0.00490975
treechop,55,0.25,116261,0.00417687,0.02677417
treechop,55,0.5,116643,0.00355431,0.02133226
treechop,66,0.0,139059,0.02863196,0.18801880
treechop,66,0.1,139236,0.00619017,0.03640676
treechop,66,0.25,139501,0.00451665,0.03918815
treechop,66,0.5,139942,0.00081974,0.00422740
treechop,71,0.0,148789,0.04261443,0.29221725
treechop,71,0.1,149042,0.00788715,0.04525089
treechop,71,0.25,149421,0.01226128,0.07071805
treechop,71,0.5,150054,0.00243788,0.01769733
treechop,75,0.0,159717,0.04596747,0.24641562
treechop,75,0.1,159995,0.00620251,0.02859044
treechop,75,0.25,160411,0.01259055,0.07184839
treechop,75,0.5,161105,0.01166425,0.06776690
treechop,80,0.0,173175,0.03159016,0.19670057
treechop,80,0.1,173438,0.00348129,0.02273726
treechop,80,0.25,173833,0.01779619,0.07947588
treechop,80,0.5,174490,0.00579352,0.02987552
treechop,83,0.0,180856,0.02170552,0.12939596
treechop,83,0.1,181108,0.00567944,0.02856970
treechop,83,0.25,181487,0.00346849,0.01924276
treechop,83,0.5,182118,0.02600506,0.11369681
treechop,86,0.0,189843,0.03340774,0.31953025
treechop,86,0.1,190092,0.00912018,0.05860996
treechop,86,0.25,190467,0.01227710,0.07696879
treechop,86,0.5,191090,0.00474072,0.02689600
treechop,90,0.0,200566,0.04531519,0.26697493
treechop,90,0.1,200824,0.00209975,0.01649976
treechop,90,0.25,201211,0.00751281,0.03369617
treechop,90,0.5,201856,0.02068383,0.09720969
treechop,92,0.0,206034,0.02149062,0.14611459
treechop,92,0.1,206344,0.00167144,0.00789404
treechop,92,0.25,206808,0.00584957,0.02631354
treechop,92,0.5,207582,0.00283121,0.01522994
treechop,96,0.0,214618,0.03615569,0.21671796
treechop,96,0.1,214816,0.00636963,0.02999449
treechop,96,0.25,215114,0.00330711,0.01902795
treechop,96,0.5,215610,0.00147435,0.01044941
treechop,116,0.0,259771,0.00529061,0.02176285
treechop,116,0.1,259931,0.01862960,0.09879827
treechop,116,0.25,260172,0.02125906,0.13094091
treechop,116,0.5,260573,0.00053800,0.00307858
treechop,118,0.0,263031,0.00015458,0.00082636
treechop,118,0.1,263169,0.00281674,0.01813316
treechop,118,0.25,263375,0.00591962,0.03227425
treechop,118,0.5,263720,0.00361094,0.01779723
treechop,122,0.0,269372,0.00188280,0.01121688
treechop,122,0.1,269551,0.00471614,0.02688837
treechop,122,0.25,269818,0.00221377,0.01591206
treechop,122,0.5,270265,0.00014702,0.00089169
treechop,124,0.0,273100,0.00239694,0.01279473
treechop,124,0.1,273257,0.00618569,0.04012251
treechop,124,0.25,273493,0.00622642,0.03804922
treechop,124,0.5,273886,0.00997069,0.05998158
treechop,125,0.0,274673,0.03711271,0.21520138
treechop,125,0.1,274823,0.01016697,0.06055737
treechop,125,0.25,275049,0.00308518,0.02182341
treechop,125,0.5,275425,0.00479925,0.03547382
treechop,134,0.0,289660,0.00024190,0.00125408
treechop,134,0.1,289843,0.00932389,0.05176497
treechop,134,0.25,290117,0.00068371,0.00318968
treechop,134,0.5,290574,0.00328266,0.01813221
treechop,135,0.0,291490,0.00673014,0.04445934
treechop,135,0.1,291679,0.00469672,0.02501965
treechop,135,0.25,291962,0.00286314,0.01516819
treechop,135,0.5,292434,0.00240907,0.01171780
treechop,138,0.0,296663,0.03809258,0.20010710
treechop,138,0.1,296858,0.00616141,0.04002094
treechop,138,0.25,297150,0.01843756,0.09621572
treechop,138,0.5,297637,0.00882309,0.04624939
treechop,145,0.0,311140,0.03999129,0.27531075
treechop,145,0.1,311307,0.00560217,0.02777314
treechop,145,0.25,311557,0.00065075,0.00329661
treechop,145,0.5,311974,0.02462166,0.17190790
treechop,149,0.0,323333,0.02000850,0.09555793
treechop,149,0.1,323572,0.00823866,0.05170321
treechop,149,0.25,323930,0.00221640,0.01189828
treechop,149,0.5,324527,0.00382869,0.01869535
treechop,154,0.0,333986,0.01030729,0.05888128
treechop,154,0.1,334138,0.01630051,0.08986402
treechop,154,0.25,334366,0.00157806,0.00963402
treechop,154,0.5,334745,0.00250008,0.01589203
treechop,156,0.0,337454,0.03955733,0.25189948
treechop,156,0.1,337649,0.02352582,0.12066674
treechop,156,0.25,337942,0.00477707,0.02408791
treechop,156,0.5,338429,0.00189529,0.01409197
treechop,158,0.0,341211,0.01378413,0.06771183
treechop,158,0.1,341562,0.02923878,0.15998888
treechop,158,0.25,342088,0.02604809,0.12921214
treechop,158,0.5,342965,0.00191465,0.00939894
treechop,170,0.0,364588,0.02610539,0.12050223
treechop,170,0.1,364739,0.00629048,0.03982902
treechop,170,0.25,364966,0.00198414,0.00891900
treechop,170,0.5,365344,0.00329199,0.01508212
treechop,176,0.0,375082,0.01921086,0.11369181
treechop,176,0.1,375305,0.00482198,0.02678323
treechop,176,0.25,375639,0.00507052,0.02666402
treechop,176,0.5,376196,0.00964303,0.04842830
treechop,185,0.0,393144,0.01906225,0.11993575
treechop,185,0.1,393300,0.00134464,0.00656319
treechop,185,0.25,393535,0.00037965,0.00204873
treechop,185,0.5,393926,0.00097521,0.00444841
treechop,187,0.0,396784,0.02730276,0.19956899
treechop,187,0.1,397110,0.02155247,0.13364005
treechop,187,0.25,397598,0.01422679,0.07273269
treechop,187,0.5,398412,0.02541536,0.12175894
treechop,188,0.0,400041,0.02440636,0.11028481
treechop,188,0.1,400420,0.00730602,0.04005051
treechop,188,0.25,400987,0.00819850,0.03791547
treechop,188,0.5,401934,0.00595605,0.03642607
treechop,190,0.0,405912,0.02901519,0.23647213
treechop,190,0.1,406123,0.02269736,0.09784627
treechop,190,0.25,406440,0.01166744,0.06219316
treechop,190,0.5,406969,0.00401586,0.02827001
treechop,194,0.0,415139,0.02159991,0.11876774
treechop,194,0.1,415344,0.00431883,0.01863861
treechop,194,0.25,415651,0.00500454,0.03335118
treechop,194,0.5,416163,0.00754997,0.06302428
obtain_spawn,ep001_1784633250670,0.0,0,0.00738876,0.03997946
obtain_spawn,ep001_1784633396270,0.0,0,0.00374067,0.01946878
obtain_spawn,ep001_1784633525602,0.0,0,0.00207411,0.00970912
obtain_spawn,ep001_1784647041967,0.0,0,0.00111981,0.00571799
obtain_spawn,ep001_1784647176868,0.0,0,0.01187523,0.07487345
obtain_spawn,ep001_1784647301681,0.0,0,0.00762505,0.04591489
obtain_spawn,ep001_1784647444573,0.0,0,0.00213708,0.01418972
obtain_spawn,ep001_1784647592008,0.0,0,0.03111682,0.16789722
obtain_spawn,ep001_1784647708743,0.0,0,0.00450507,0.02220321
obtain_spawn,ep001_1784647828624,0.0,0,0.00794538,0.06350136
obtain_spawn,ep001_1784647943879,0.0,0,0.00333047,0.02669477
obtain_coverage,0,0.0,0,0.00715870,0.04439020
obtain_coverage,0,0.1,40,0.00805382,0.05096507
obtain_coverage,0,0.25,100,0.00380183,0.02214813
obtain_coverage,0,0.5,200,0.00030195,0.00156283
obtain_coverage,1,0.0,400,0.00272055,0.01715040
obtain_coverage,1,0.1,440,0.00130917,0.00948834
obtain_coverage,1,0.25,500,0.00094868,0.00492001
obtain_coverage,1,0.5,600,0.00716912,0.04211020
obtain_coverage,2,0.0,800,0.02980889,0.14979625
obtain_coverage,2,0.1,840,0.00461045,0.02491140
obtain_coverage,2,0.25,900,0.00586578,0.03201628
obtain_coverage,2,0.5,1000,0.00188401,0.00996423
obtain_coverage,3,0.0,1200,0.02427586,0.12669492
obtain_coverage,3,0.1,1240,0.00245526,0.01458049
obtain_coverage,3,0.25,1300,0.00571982,0.02824545
obtain_coverage,3,0.5,1400,0.00000288,0.00001454
obtain_coverage,4,0.0,1600,0.00616769,0.03321147
obtain_coverage,4,0.1,1640,0.00292626,0.01279211
obtain_coverage,4,0.25,1700,0.00103170,0.00558209
obtain_coverage,4,0.5,1800,0.00325414,0.01792383
obtain_coverage,5,0.0,2000,0.00244930,0.01223183
obtain_coverage,5,0.1,2040,0.00128872,0.00650263
obtain_coverage,5,0.25,2100,0.00117269,0.00544882
obtain_coverage,5,0.5,2200,0.01689742,0.09074545
obtain_coverage,6,0.0,2400,0.00349196,0.02232599
obtain_coverage,6,0.1,2440,0.00978792,0.05361915
obtain_coverage,6,0.25,2500,0.01375812,0.08348155
obtain_coverage,6,0.5,2600,0.00449224,0.03272581
obtain_coverage,7,0.0,2800,0.00358605,0.01794648
obtain_coverage,7,0.1,2840,0.00239715,0.00968552
obtain_coverage,7,0.25,2900,0.00432141,0.02355766
obtain_coverage,7,0.5,3000,0.00650994,0.04394674
obtain_coverage,8,0.0,3200,0.00189947,0.00854468
obtain_coverage,8,0.1,3240,0.00261885,0.01456881
obtain_coverage,8,0.25,3300,0.00752669,0.05005503
obtain_coverage,8,0.5,3400,0.00506142,0.03325558
obtain_coverage,9,0.0,3600,0.00781995,0.04426718
obtain_coverage,9,0.1,3640,0.00568151,0.03196192
obtain_coverage,9,0.25,3700,0.00215021,0.01027799
obtain_coverage,9,0.5,3800,0.00648772,0.03304148
obtain_coverage,10,0.0,4000,0.00675921,0.03347754
obtain_coverage,10,0.1,4040,0.00642342,0.03195691
obtain_coverage,10,0.25,4100,0.00652748,0.03983140
obtain_coverage,10,0.5,4200,0.00547972,0.02525187
obtain_coverage,11,0.0,4400,0.00117739,0.00703979
obtain_coverage,11,0.1,4440,0.00965866,0.06745815
obtain_coverage,11,0.25,4500,0.00823268,0.05318117
obtain_coverage,11,0.5,4600,0.00299072,0.01939917
obtain_coverage,12,0.0,4800,0.00479843,0.02911115
obtain_coverage,12,0.1,4840,0.00416833,0.03308916
obtain_coverage,12,0.25,4900,0.00247756,0.01430631
obtain_coverage,12,0.5,5000,0.00535561,0.02635670
obtain_coverage,13,0.0,5200,0.00248813,0.01487255
obtain_coverage,13,0.1,5240,0.00370326,0.02348137
obtain_coverage,13,0.25,5300,0.00158554,0.00911164
obtain_coverage,13,0.5,5400,0.00231731,0.01666570
obtain_coverage,14,0.0,5600,0.03698929,0.22913074
obtain_coverage,14,0.1,5640,0.03241636,0.20481944
obtain_coverage,14,0.25,5700,0.02088428,0.17330599
obtain_coverage,14,0.5,5800,0.00520818,0.04144073
obtain_coverage,15,0.0,6000,0.00646107,0.03105044
obtain_coverage,15,0.1,6040,0.00442898,0.02585578
obtain_coverage,15,0.25,6100,0.00391185,0.02792954
obtain_coverage,15,0.5,6200,0.00538767,0.03260541
obtain_coverage,16,0.0,6400,0.01083074,0.07826447
obtain_coverage,16,0.1,6440,0.00638698,0.03440166
obtain_coverage,16,0.25,6500,0.00587058,0.03358698
obtain_coverage,16,0.5,6600,0.00868263,0.04954958
obtain_coverage,17,0.0,6800,0.00442329,0.02664161
obtain_coverage,17,0.1,6840,0.00277203,0.01604152
obtain_coverage,17,0.25,6900,0.00221191,0.01588941
obtain_coverage,17,0.5,7000,0.00966793,0.05526233
obtain_coverage,18,0.0,7200,0.00424056,0.03266335
obtain_coverage,18,0.1,7240,0.00470615,0.02458501
obtain_coverage,18,0.25,7300,0.00493347,0.03279567
obtain_coverage,18,0.5,7400,0.00424590,0.02324462
obtain_coverage,19,0.0,7600,0.04462383,0.27400231
obtain_coverage,19,0.1,7640,0.00490888,0.03212357
obtain_coverage,19,0.25,7700,0.00533179,0.03198361
obtain_coverage,19,0.5,7800,0.00467599,0.03225064
