group,episode,offset,frame_idx,goal_score_std,score_range
treechop,156,0.5,338429,0.00383386,0.02984309
treechop,158,0.0,341211,0.00981813,0.04582238
treechop,158,0.1,341562,0.01911337,0.11039734
treechop,158,0.25,342088,0.01179549,0.05941606
treechop,158,0.5,342965,0.00146405,0.00729036
treechop,170,0.0,364588,0.00561322,0.02834558
treechop,170,0.1,364739,0.00784757,0.05175281
treechop,170,0.25,364966,0.00366445,0.01607347
treechop,170,0.5,365344,0.00388639,0.01841879
treechop,176,0.0,375082,0.01344792,0.09155655
treechop,176,0.1,375305,0.00373412,0.01978135
treechop,176,0.25,375639,0.00509986,0.02570724
treechop,176,0.5,376196,0.00737221,0.03527761
treechop,185,0.0,393144,0.01503472,0.09266901
treechop,185,0.1,393300,0.00161160,0.00786018
treechop,185,0.25,393535,0.00094646,0.00539565
treechop,185,0.5,393926,0.00102178,0.00444961
treechop,187,0.0,396784,0.01018295,0.08197904
treechop,187,0.1,397110,0.02638617,0.15260196
treechop,187,0.25,397598,0.01287993,0.06380939
treechop,187,0.5,398412,0.02389396,0.10997391
treechop,188,0.0,400041,0.01810647,0.08659792
treechop,188,0.1,400420,0.00727918,0.04428840
treechop,188,0.25,400987,0.00827296,0.03942823
treechop,188,0.5,401934,0.00725705,0.04380393
treechop,190,0.0,405912,0.02401031,0.16119719
treechop,190,0.1,406123,0.02141481,0.09841633
treechop,190,0.25,406440,0.00975291,0.05425262
treechop,190,0.5,406969,0.00323871,0.02223802
treechop,194,0.0,415139,0.01276281,0.07853174
treechop,194,0.1,415344,0.00269521,0.01171303
treechop,194,0.25,415651,0.00572400,0.03273559
treechop,194,0.5,416163,0.00445086,0.03809643
obtain_spawn,ep001_1784633250670,0.0,0,0.00646114,0.04225945
obtain_spawn,ep001_1784633396270,0.0,0,0.00500717,0.02696943
obtain_spawn,ep001_1784633525602,0.0,0,0.00301436,0.01539326
obtain_spawn,ep001_1784647041967,0.0,0,0.00056555,0.00272107
obtain_spawn,ep001_1784647176868,0.0,0,0.00605619,0.04748964
obtain_spawn,ep001_1784647301681,0.0,0,0.00740143,0.04506516
obtain_spawn,ep001_1784647444573,0.0,0,0.00275369,0.01798487
obtain_spawn,ep001_1784647592008,0.0,0,0.02913774,0.16559649
obtain_spawn,ep001_1784647708743,0.0,0,0.00346516,0.01763105
obtain_spawn,ep001_1784647828624,0.0,0,0.00471239,0.04368091
obtain_spawn,ep001_1784647943879,0.0,0,0.00394593,0.03394032
obtain_coverage,0,0.0,0,0.00583723,0.03489947
obtain_coverage,0,0.1,40,0.00870599,0.05383658
obtain_coverage,0,0.25,100,0.00472456,0.02711844
obtain_coverage,0,0.5,200,0.00042031,0.00233865
obtain_coverage,1,0.0,400,0.00227582,0.01455426
obtain_coverage,1,0.1,440,0.00141216,0.01027513
obtain_coverage,1,0.25,500,0.00034645,0.00265288
obtain_coverage,1,0.5,600,0.00833163,0.04745483
obtain_coverage,2,0.0,800,0.01964161,0.09377813
obtain_coverage,2,0.1,840,0.00326504,0.01805806
obtain_coverage,2,0.25,900,0.00450279,0.02436805
obtain_coverage,2,0.5,1000,0.00186344,0.00922799
obtain_coverage,3,0.0,1200,0.01853050,0.09592676
obtain_coverage,3,0.1,1240,0.00243146,0.01333356
obtain_coverage,3,0.25,1300,0.00626912,0.03786111
obtain_coverage,3,0.5,1400,0.00002958,0.00014210
obtain_coverage,4,0.0,1600,0.01179455,0.05325913
obtain_coverage,4,0.1,1640,0.00353741,0.01719213
obtain_coverage,4,0.25,1700,0.00079299,0.00497842
obtain_coverage,4,0.5,1800,0.00143238,0.00840783
obtain_coverage,5,0.0,2000,0.00271330,0.01346803
obtain_coverage,5,0.1,2040,0.00153531,0.00915742
obtain_coverage,5,0.25,2100,0.00132573,0.00786853
obtain_coverage,5,0.5,2200,0.01328458,0.07064056
obtain_coverage,6,0.0,2400,0.00384112,0.02056193
obtain_coverage,6,0.1,2440,0.00907429,0.05491734
obtain_coverage,6,0.25,2500,0.01464430,0.08721638
obtain_coverage,6,0.5,2600,0.00204909,0.01350713
obtain_coverage,7,0.0,2800,0.00331948,0.01693606
obtain_coverage,7,0.1,2840,0.00293978,0.01691556
obtain_coverage,7,0.25,2900,0.00418141,0.02334642
obtain_coverage,7,0.5,3000,0.00540166,0.03591061
obtain_coverage,8,0.0,3200,0.00097920,0.00494432
obtain_coverage,8,0.1,3240,0.00122531,0.00828218
obtain_coverage,8,0.25,3300,0.00814821,0.05992532
obtain_coverage,8,0.5,3400,0.00441140,0.03043199
obtain_coverage,9,0.0,3600,0.01215290,0.07673240
obtain_coverage,9,0.1,3640,0.00984763,0.05398202
obtain_coverage,9,0.25,3700,0.00138116,0.00609112
obtain_coverage,9,0.5,3800,0.00762803,0.04205132
obtain_coverage,10,0.0,4000,0.00382105,0.02174139
obtain_coverage,10,0.1,4040,0.00684425,0.03558707
obtain_coverage,10,0.25,4100,0.00602442,0.03716993
obtain_coverage,10,0.5,4200,0.00407954,0.02057648
obtain_coverage,11,0.0,4400,0.00081430,0.00472188
obtain_coverage,11,0.1,4440,0.00640717,0.04302502
obtain_coverage,11,0.25,4500,0.00741663,0.04708695
obtain_coverage,11,0.5,4600,0.00393098,0.02423954
obtain_coverage,12,0.0,4800,0.00371560,0.02351022
obtain_coverage,12,0.1,4840,0.00240943,0.01739979
obtain_coverage,12,0.25,4900,0.00255340,0.01418424
obtain_coverage,12,0.5,5000,0.00414131,0.02188349
obtain_coverage,13,0.0,5200,0.00246468,0.01495004
obtain_coverage,13,0.1,5240,0.00333840,0.02057505
obtain_coverage,13,0.25,5300,0.00273261,0.01550579
obtain_coverage,13,0.5,5400,0.00240431,0.01551104
obtain_coverage,14,0.0,5600,0.03049383,0.18295074
obtain_coverage,14,0.1,5640,0.02892679,0.18627405
obtain_coverage,14,0.25,5700,0.02248226,0.16765976
obtain_coverage,14,0.5,5800,0.01046140,0.07702661
obtain_coverage,15,0.0,6000,0.00686596,0.03452826
obtain_coverage,15,0.1,6040,0.00600636,0.03855824
obtain_coverage,15,0.25,6100,0.00384179,0.02563787
obtain_coverage,15,0.5,6200,0.00338114,0.02069306
obtain_coverage,16,0.0,6400,0.00896084,0.06267118
obtain_coverage,16,0.1,6440,0.00463441,0.02285028
obtain_coverage,16,0.25,6500,0.00498592,0.02921963
obtain_coverage,16,0.5,6600,0.00566736,0.03333759
obtain_coverage,17,0.0,6800,0.00436753,0.02419639
obtain_coverage,17,0.1,6840,0.00163966,0.01106668
obtain_coverage,17,0.25,6900,0.00173156,0.01309347
obtain_coverage,17,0.5,7000,0.00780397,0.04308438
obtain_coverage,18,0.0,7200,0.00370222,0.03045511
obtain_coverage,18,0.1,7240,0.00455060,0.02665377
obtain_coverage,18,0.25,7300,0.00563816,0.03669190
obtain_coverage,18,0.5,7400,0.00750826,0.04410720
obtain_coverage,19,0.0,7600,0.03412086,0.18470192
obtain_coverage,19,0.1,7640,0.00283704,0.01794386
obtain_coverage,19,0.25,7700,0.00374350,0.02138233
obtain_coverage,19,0.5,7800,0.00504530,0.03361917
