group,episode,offset,frame_idx,goal_score_std,score_range
treechop,5,0.0,11352,0.02077008,0.12666488
treechop,5,0.1,11553,0.02049011,0.09845996
treechop,5,0.25,11855,0.01560966,0.10007107
treechop,5,0.5,12358,0.00654401,0.03257895
treechop,7,0.0,15807,0.01382846,0.07939267
treechop,7,0.1,16008,0.00747000,0.05996728
treechop,7,0.25,16310,0.00244566,0.01667380
treechop,7,0.5,16813,0.02291279,0.14070940
treechop,12,0.0,26736,0.02215578,0.11372328
treechop,12,0.1,26980,0.00050103,0.00263739
treechop,12,0.25,27345,0.00195493,0.01321816
treechop,12,0.5,27954,0.02403089,0.12147665
treechop,15,0.0,33352,0.01538683,0.09413266
treechop,15,0.1,33566,0.00522960,0.02942443
treechop,15,0.25,33886,0.00275891,0.01625013
treechop,15,0.5,34421,0.00494667,0.02745485
treechop,16,0.0,35491,0.02194171,0.15412092
treechop,16,0.1,35795,0.00154698,0.00871420
treechop,16,0.25,36250,0.00555436,0.03463531
treechop,16,0.5,37009,0.00252792,0.01411295
treechop,18,0.0,42663,0.01643769,0.08428407
treechop,18,0.1,42919,0.00587501,0.03668714
treechop,18,0.25,43302,0.00824465,0.05341268
treechop,18,0.5,43941,0.01700351,0.08864546
treechop,33,0.0,72013,0.01334491,0.06340933
treechop,33,0.1,72228,0.01669545,0.11185050
treechop,33,0.25,72551,0.00080392,0.00429058
treechop,33,0.5,73089,0.00230537,0.01382828
treechop,37,0.0,80473,0.01005871,0.07229257
treechop,37,0.1,80667,0.00342902,0.02696967
treechop,37,0.25,80959,0.00821983,0.06215286
treechop,37,0.5,81445,0.00572941,0.02826715
treechop,45,0.0,98880,0.00699315,0.03692055
treechop,45,0.1,99033,0.01015824,0.05492687
treechop,45,0.25,99262,0.00247833,0.01305735
treechop,45,0.5,99644,0.00590716,0.02991235
treechop,52,0.0,110292,0.01069228,0.06024551
treechop,52,0.1,110460,0.00498539,0.02807450
treechop,52,0.25,110712,0.01181149,0.07383943
treechop,52,0.5,111132,0.00094773,0.00476480
treechop,55,0.0,115879,0.00548730,0.03296351
treechop,55,0.1,116032,0.00092302,0.00454545
treechop,55,0.25,116261,0.00421564,0.02713323
treechop,55,0.5,116643,0.00312296,0.01988602
treechop,66,0.0,139059,0.01378199,0.08818769
treechop,66,0.1,139236,0.00536688,0.03390026
treechop,66,0.25,139501,0.00405338,0.02966094
treechop,66,0.5,139942,0.00084747,0.00428796
treechop,71,0.0,148789,0.01794451,0.10459542
treechop,71,0.1,149042,0.00780328,0.04470968
treechop,71,0.25,149421,0.01302574,0.07448339
treechop,71,0.5,150054,0.00235568,0.01704168
treechop,75,0.0,159717,0.02316776,0.11640668
treechop,75,0.1,159995,0.00499799,0.02261853
treechop,75,0.25,160411,0.01342144,0.07627153
treechop,75,0.5,161105,0.01727599,0.08231616
treechop,80,0.0,173175,0.02581379,0.14074039
treechop,80,0.1,173438,0.00307102,0.01900005
treechop,80,0.25,173833,0.01485541,0.06823969
treechop,80,0.5,174490,0.00579455,0.03667879
treechop,83,0.0,180856,0.02202676,0.11871886
treechop,83,0.1,181108,0.00393816,0.02089071
treechop,83,0.25,181487,0.00364098,0.01646376
treechop,83,0.5,182118,0.01721203,0.07845569
treechop,86,0.0,189843,0.02610978,0.16119480
treechop,86,0.1,190092,0.00967116,0.05823445
treechop,86,0.25,190467,0.00990396,0.06044793
treechop,86,0.5,191090,0.00396361,0.02248049
treechop,90,0.0,200566,0.01584678,0.09061813
treechop,90,0.1,200824,0.00239073,0.01754379
treechop,90,0.25,201211,0.00619095,0.02822518
treechop,90,0.5,201856,0.02057156,0.09514809
treechop,92,0.0,206034,0.01966976,0.11505342
treechop,92,0.1,206344,0.00138221,0.00667465
treechop,92,0.25,206808,0.00197302,0.00873744
treechop,92,0.5,207582,0.00267943,0.01450944
treechop,96,0.0,214618,0.01593706,0.11034274
treechop,96,0.1,214816,0.00444174,0.02207184
treechop,96,0.25,215114,0.00318143,0.01761436
treechop,96,0.5,215610,0.00176938,0.01041484
treechop,116,0.0,259771,0.00349543,0.01577210
treechop,116,0.1,259931,0.01551989,0.08214855
treechop,116,0.25,260172,0.02099884,0.12728214
treechop,116,0.5,260573,0.00053820,0.00311530
treechop,118,0.0,263031,0.00006234,0.00035810
treechop,118,0.1,263169,0.00198575,0.01199293
treechop,118,0.25,263375,0.00384153,0.02065349
treechop,118,0.5,263720,0.00241742,0.01233268
treechop,122,0.0,269372,0.00020766,0.00157452
treechop,122,0.1,269551,0.00486776,0.02744603
treechop,122,0.25,269818,0.00201653,0.01446056
treechop,122,0.5,270265,0.00045806,0.00290608
treechop,124,0.0,273100,0.00250290,0.01244521
treechop,124,0.1,273257,0.00744079,0.04712129
treechop,124,0.25,273493,0.00684061,0.04149032
treechop,124,0.5,273886,0.01086339,0.06127262
treechop,125,0.0,274673,0.01951765,0.11793756
treechop,125,0.1,274823,0.00861045,0.05089569
treechop,125,0.25,275049,0.00252494,0.01797867
treechop,125,0.5,275425,0.00390680,0.02882266
treechop,134,0.0,289660,0.00005098,0.00025702
treechop,134,0.1,289843,0.00827735,0.04462147
treechop,134,0.25,290117,0.00059676,0.00269485
treechop,134,0.5,290574,0.00191853,0.01047635
treechop,135,0.0,291490,0.00557420,0.04739690
treechop,135,0.1,291679,0.00379956,0.02014470
treechop,135,0.25,291962,0.00254180,0.01312757
treechop,135,0.5,292434,0.00197649,0.00996184
treechop,138,0.0,296663,0.01477779,0.08045983
treechop,138,0.1,296858,0.00639365,0.04259849
treechop,138,0.25,297150,0.02082139,0.10956621
treechop,138,0.5,297637,0.00785688,0.04067063
treechop,145,0.0,311140,0.02018296,0.14609289
treechop,145,0.1,311307,0.00392878,0.01904702
treechop,145,0.25,311557,0.00061542,0.00325143
treechop,145,0.5,311974,0.02283108,0.14869785
treechop,149,0.0,323333,0.01250564,0.06542134
treechop,149,0.1,323572,0.00750815,0.04827762
treechop,149,0.25,323930,0.00131581,0.00660777
treechop,149,0.5,324527,0.00230934,0.01180935
treechop,154,0.0,333986,0.00773087,0.04367471
treechop,154,0.1,334138,0.01376703,0.07302618
treechop,154,0.25,334366,0.00142385,0.00900626
treechop,154,0.5,334745,0.00222308,0.01309109
treechop,156,0.0,337454,0.01706989,0.11737132
treechop,156,0.1,337649,0.02379440,0.12371874
treechop,156,0.25,337942,0.00375123,0.01894832
treechop,156,0.5,338429,0.00263324,0.01851583
treechop,158,0.0,341211,0.00969538,0.04815173
treechop,158,0.1,341562,0.02546152,0.13681412
treechop,158,0.25,342088,0.01799101,0.08994055
treechop,158,0.5,342965,0.00148300,0.00710249
treechop,170,0.0,364588,0.01130056,0.05560255
treechop,170,0.1,364739,0.00724831,0.04580116
treechop,170,0.25,364966,0.00164803,0.00748014
treechop,170,0.5,365344,0.00236630,0.01115394
treechop,176,0.0,375082,0.02150343,0.11993980
treechop,176,0.1,375305,0.00363034,0.01943135
treechop,176,0.25,375639,0.00407751,0.02255344
treechop,176,0.5,376196,0.00749796,0.03799653
treechop,185,0.0,393144,0.02150474,0.12176204
treechop,185,0.1,393300,0.00109816,0.00536203
treechop,185,0.25,393535,0.00059652,0.00332165
treechop,185,0.5,393926,0.00071712,0.00340796
treechop,187,0.0,396784,0.01577719,0.11880136
treechop,187,0.1,397110,0.01672352,0.10150957
treechop,187,0.25,397598,0.01030381,0.05368447
treechop,187,0.5,398412,0.02355530,0.11075497
treechop,188,0.0,400041,0.01674336,0.08491254
treechop,188,0.1,400420,0.00679549,0.03790617
treechop,188,0.25,400987,0.00673668,0.03133869
treechop,188,0.5,401934,0.00379373,0.02742338
treechop,190,0.0,405912,0.03919159,0.24713469
treechop,190,0.1,406123,0.02325801,0.09967947
treechop,190,0.25,406440,0.01028608,0.05357695
treechop,190,0.5,406969,0.00484608,0.03237081
treechop,194,0.0,415139,0.02018485,0.11105108
treechop,194,0.1,415344,0.00369550,0.01595235
treechop,194,0.25,415651,0.00512657,0.03125000
treechop,194,0.5,416163,0.00761250,0.05880427
obtain_spawn,ep001_1784633250670,0.0,0,0.00674387,0.03527355
obtain_spawn,ep001_1784633396270,0.0,0,0.00300039,0.01835322
obtain_spawn,ep001_1784633525602,0.0,0,0.00176897,0.00856709
obtain_spawn,ep001_1784647041967,0.0,0,0.00058430,0.00265169
obtain_spawn,ep001_1784647176868,0.0,0,0.01117615,0.07493877
obtain_spawn,ep001_1784647301681,0.0,0,0.00711636,0.04687619
obtain_spawn,ep001_1784647444573,0.0,0,0.00238907,0.01372623
obtain_spawn,ep001_1784647592008,0.0,0,0.03044871,0.17334199
obtain_spawn,ep001_1784647708743,0.0,0,0.00127258,0.00718164
obtain_spawn,ep001_1784647828624,0.0,0,0.00860062,0.05928969
obtain_spawn,ep001_1784647943879,0.0,0,0.00395805,0.03165269
obtain_coverage,0,0.0,0,0.00633306,0.03723359
obtain_coverage,0,0.1,40,0.00619911,0.04258847
obtain_coverage,0,0.25,100,0.00386976,0.02219582
