group,episode,offset,frame_idx,goal_score_std,score_range
treechop,5,0.0,11352,0.01846799,0.10448503
treechop,5,0.1,11553,0.01995534,0.10710692
treechop,5,0.25,11855,0.01483594,0.09433579
treechop,5,0.5,12358,0.00385500,0.02188087
treechop,7,0.0,15807,0.02837373,0.16062427
treechop,7,0.1,16008,0.00804145,0.06980371
treechop,7,0.25,16310,0.00390115,0.02343512
treechop,7,0.5,16813,0.01721517,0.10006738
treechop,12,0.0,26736,0.04102618,0.18632865
treechop,12,0.1,26980,0.00066787,0.00342155
treechop,12,0.25,27345,0.00213446,0.01444840
treechop,12,0.5,27954,0.01983973,0.09920788
treechop,15,0.0,33352,0.01336345,0.07611966
treechop,15,0.1,33566,0.00321536,0.02134132
treechop,15,0.25,33886,0.00356949,0.02054739
treechop,15,0.5,34421,0.00933386,0.05076694
treechop,16,0.0,35491,0.02485957,0.17599416
treechop,16,0.1,35795,0.00248363,0.01462865
treechop,16,0.25,36250,0.00525225,0.03338695
treechop,16,0.5,37009,0.00203260,0.01215410
treechop,18,0.0,42663,0.02379844,0.11752009
treechop,18,0.1,42919,0.00670306,0.04379654
treechop,18,0.25,43302,0.00755531,0.05257869
treechop,18,0.5,43941,0.01388284,0.07188630
treechop,33,0.0,72013,0.01511000,0.07074213
treechop,33,0.1,72228,0.01074222,0.07890344
treechop,33,0.25,72551,0.00048007,0.00256228
treechop,33,0.5,73089,0.00338005,0.02081394
treechop,37,0.0,80473,0.01427791,0.09241605
treechop,37,0.1,80667,0.00262598,0.02328300
treechop,37,0.25,80959,0.01130734,0.07885861
treechop,37,0.5,81445,0.00102141,0.00652337
treechop,45,0.0,98880,0.01249255,0.06637716
treechop,45,0.1,99033,0.00929979,0.05571055
treechop,45,0.25,99262,0.00554316,0.03029358
treechop,45,0.5,99644,0.01107227,0.06117940
treechop,52,0.0,110292,0.01584712,0.07815266
treechop,52,0.1,110460,0.00985024,0.05327320
treechop,52,0.25,110712,0.00838617,0.05056810
treechop,52,0.5,111132,0.00092706,0.00446510
treechop,55,0.0,115879,0.00803450,0.03637314
treechop,55,0.1,116032,0.00121341,0.00556445
treechop,55,0.25,116261,0.00486502,0.03042579
treechop,55,0.5,116643,0.00407359,0.02477241
treechop,66,0.0,139059,0.01417184,0.07608104
treechop,66,0.1,139236,0.00627771,0.03808856
treechop,66,0.25,139501,0.00451687,0.02397966
treechop,66,0.5,139942,0.00109776,0.00658631
treechop,71,0.0,148789,0.03323997,0.19867516
treechop,71,0.1,149042,0.00639685,0.03693461
treechop,71,0.25,149421,0.01016392,0.05787444
treechop,71,0.5,150054,0.00600298,0.04752302
treechop,75,0.0,159717,0.03864883,0.18313265
treechop,75,0.1,159995,0.00629677,0.02794218
treechop,75,0.25,160411,0.00897447,0.05021143
treechop,75,0.5,161105,0.01302435,0.08038235
treechop,80,0.0,173175,0.03535417,0.19342852
treechop,80,0.1,173438,0.00291587,0.01831722
treechop,80,0.25,173833,0.02036758,0.09123349
treechop,80,0.5,174490,0.00854063,0.05671620
treechop,83,0.0,180856,0.02915546,0.14866948
treechop,83,0.1,181108,0.00286788,0.01422691
treechop,83,0.25,181487,0.00334240,0.01817846
treechop,83,0.5,182118,0.02542762,0.11206150
treechop,86,0.0,189843,0.03160278,0.24497247
treechop,86,0.1,190092,0.01121601,0.06366467
treechop,86,0.25,190467,0.01637386,0.09490490
treechop,86,0.5,191090,0.00425077,0.02350307
treechop,90,0.0,200566,0.02839137,0.13942647
treechop,90,0.1,200824,0.00308713,0.02473831
treechop,90,0.25,201211,0.00588426,0.02940083
treechop,90,0.5,201856,0.02138431,0.10483646
treechop,92,0.0,206034,0.02585158,0.17734241
treechop,92,0.1,206344,0.00236534,0.01246011
treechop,92,0.25,206808,0.00312100,0.01453924
treechop,92,0.5,207582,0.00328445,0.01919413
treechop,96,0.0,214618,0.01534817,0.08210158
treechop,96,0.1,214816,0.00844329,0.04237103
treechop,96,0.25,215114,0.00387559,0.02010751
treechop,96,0.5,215610,0.00430941,0.02000594
treechop,116,0.0,259771,0.00281749,0.01579952
treechop,116,0.1,259931,0.00702130,0.03259158
treechop,116,0.25,260172,0.02083374,0.12676239
