group,episode,offset,frame_idx,goal_score_std,score_range
treechop,5,0.0,11352,0.05276789,0.26978397
treechop,5,0.1,11553,0.02037579,0.12020206
treechop,5,0.25,11855,0.02366494,0.14266157
treechop,5,0.5,12358,0.00953321,0.04720902
treechop,7,0.0,15807,0.04089299,0.26056385
treechop,7,0.1,16008,0.01227900,0.09466171
treechop,7,0.25,16310,0.00187879,0.01041532
treechop,7,0.5,16813,0.01682470,0.08969402
treechop,12,0.0,26736,0.03689229,0.17630243
treechop,12,0.1,26980,0.00100173,0.00506377
treechop,12,0.25,27345,0.00616550,0.03742385
treechop,12,0.5,27954,0.02476886,0.15697289
treechop,15,0.0,33352,0.03766906,0.17135549
treechop,15,0.1,33566,0.01208052,0.05459452
treechop,15,0.25,33886,0.00439862,0.02427936
treechop,15,0.5,34421,0.01285170,0.06517124
treechop,16,0.0,35491,0.03142719,0.19345808
treechop,16,0.1,35795,0.00204673,0.01232195
treechop,16,0.25,36250,0.00617492,0.03413510
treechop,16,0.5,37009,0.00293193,0.01708674
treechop,18,0.0,42663,0.03932768,0.18721128
treechop,18,0.1,42919,0.00537267,0.03393149
treechop,18,0.25,43302,0.01283340,0.09412646
treechop,18,0.5,43941,0.01933388,0.09665203
treechop,33,0.0,72013,0.03894371,0.17414403
treechop,33,0.1,72228,0.01329187,0.09169340
treechop,33,0.25,72551,0.00053918,0.00267172
treechop,33,0.5,73089,0.00886168,0.04414511
treechop,37,0.0,80473,0.04142136,0.21956825
treechop,37,0.1,80667,0.00245569,0.01618075
treechop,37,0.25,80959,0.01127033,0.07705140
treechop,37,0.5,81445,0.01018596,0.05916286
treechop,45,0.0,98880,0.01019790,0.05093670
treechop,45,0.1,99033,0.00598655,0.03887272
treechop,45,0.25,99262,0.00455560,0.02324057
treechop,45,0.5,99644,0.01507683,0.08680487
treechop,52,0.0,110292,0.03037985,0.13991451
treechop,52,0.1,110460,0.00661183,0.03683329
treechop,52,0.25,110712,0.01465229,0.08312321
treechop,52,0.5,111132,0.00099026,0.00463629
treechop,55,0.0,115879,0.01081696,0.04904842
treechop,55,0.1,116032,0.00300084,0.01322651
treechop,55,0.25,116261,0.00491055,0.02667832
treechop,55,0.5,116643,0.00673820,0.03604794
treechop,66,0.0,139059,0.03786758,0.19232440
treechop,66,0.1,139236,0.00631589,0.03689146
treechop,66,0.25,139501,0.00870159,0.04983616
treechop,66,0.5,139942,0.00076276,0.00388432
treechop,71,0.0,148789,0.03920783,0.27835917
treechop,71,0.1,149042,0.01609253,0.09103513
treechop,71,0.25,149421,0.02051075,0.11295962
treechop,71,0.5,150054,0.00455472,0.04129004
treechop,75,0.0,159717,0.04167493,0.19331121
treechop,75,0.1,159995,0.01462008,0.06570458
treechop,75,0.25,160411,0.00857071,0.04784918
treechop,75,0.5,161105,0.00787770,0.05425549
treechop,80,0.0,173175,0.04308922,0.23053479
treechop,80,0.1,173438,0.00605706,0.03976822
treechop,80,0.25,173833,0.02908990,0.14016867
treechop,80,0.5,174490,0.00800617,0.04655170
treechop,83,0.0,180856,0.01113366,0.05028176
treechop,83,0.1,181108,0.02192597,0.11183047
treechop,83,0.25,181487,0.00543355,0.02793622
treechop,83,0.5,182118,0.02573543,0.10781097
treechop,86,0.0,189843,0.02965495,0.27182460
treechop,86,0.1,190092,0.01355108,0.06888628
treechop,86,0.25,190467,0.01852064,0.10391486
treechop,86,0.5,191090,0.00319473,0.01706004
treechop,90,0.0,200566,0.05115921,0.26189518
treechop,90,0.1,200824,0.00508944,0.03304458
treechop,90,0.25,201211,0.01206870,0.06328249
treechop,90,0.5,201856,0.03396421,0.15308237
treechop,92,0.0,206034,0.03365635,0.21372294
treechop,92,0.1,206344,0.00338223,0.01573169
treechop,92,0.25,206808,0.01540515,0.07421112
treechop,92,0.5,207582,0.00356001,0.01885796
treechop,96,0.0,214618,0.04756625,0.21571732
treechop,96,0.1,214816,0.01096754,0.04601812
treechop,96,0.25,215114,0.00494588,0.02442503
treechop,96,0.5,215610,0.00613826,0.02702832
treechop,116,0.0,259771,0.00587983,0.02501607
treechop,116,0.1,259931,0.03467010,0.17568135
treechop,116,0.25,260172,0.01631932,0.09586501
treechop,116,0.5,260573,0.00096877,0.00491905
treechop,118,0.0,263031,0.00003795,0.00022030
treechop,118,0.1,263169,0.00363518,0.02521420
treechop,118,0.25,263375,0.00492639,0.03040576
treechop,118,0.5,263720,0.00501147,0.02212167
treechop,122,0.0,269372,0.00005898,0.00041962
treechop,122,0.1,269551,0.00608948,0.03527331
treechop,122,0.25,269818,0.00305532,0.02013946
treechop,122,0.5,270265,0.00016419,0.00095701
treechop,124,0.0,273100,0.00041983,0.00256944
treechop,124,0.1,273257,0.00707252,0.04770970
treechop,124,0.25,273493,0.00843926,0.05091238
treechop,124,0.5,273886,0.01284249,0.06789231
treechop,125,0.0,274673,0.04204517,0.20475006
treechop,125,0.1,274823,0.01077887,0.05374169
treechop,125,0.25,275049,0.00845199,0.05704308
treechop,125,0.5,275425,0.00408540,0.02874589
treechop,134,0.0,289660,0.00003056,0.00015712
treechop,134,0.1,289843,0.01389625,0.07240844
treechop,134,0.25,290117,0.00164109,0.00750804
treechop,134,0.5,290574,0.00435538,0.02389503
treechop,135,0.0,291490,0.00652398,0.03952861
treechop,135,0.1,291679,0.01981413,0.11254275
treechop,135,0.25,291962,0.00282352,0.01469851
treechop,135,0.5,292434,0.00248230,0.01161742
treechop,138,0.0,296663,0.04854315,0.21197939
treechop,138,0.1,296858,0.01830447,0.10393715
treechop,138,0.25,297150,0.01119851,0.06440902
treechop,138,0.5,297637,0.00603357,0.02977538
treechop,145,0.0,311140,0.02496225,0.16548514
treechop,145,0.1,311307,0.00936928,0.04333901
treechop,145,0.25,311557,0.00078818,0.00371647
treechop,145,0.5,311974,0.02178568,0.14467287
treechop,149,0.0,323333,0.03364854,0.16876006
treechop,149,0.1,323572,0.00829373,0.04886031
treechop,149,0.25,323930,0.00165962,0.00908279
treechop,149,0.5,324527,0.00180844,0.00956798
treechop,154,0.0,333986,0.00708314,0.04932380
treechop,154,0.1,334138,0.01259154,0.06505799
treechop,154,0.25,334366,0.00283411,0.01622915
treechop,154,0.5,334745,0.00237719,0.01347208
treechop,156,0.0,337454,0.04791055,0.23127723
treechop,156,0.1,337649,0.02084529,0.12011814
treechop,156,0.25,337942,0.00465917,0.02287197
treechop,156,0.5,338429,0.00483482,0.03119755
treechop,158,0.0,341211,0.01564524,0.08586931
treechop,158,0.1,341562,0.02236331,0.10407615
treechop,158,0.25,342088,0.01472441,0.07348895
treechop,158,0.5,342965,0.00293653,0.01403189
treechop,170,0.0,364588,0.02232992,0.10719132
treechop,170,0.1,364739,0.00559272,0.03759480
treechop,170,0.25,364966,0.00181386,0.00841045
treechop,170,0.5,365344,0.00253206,0.01109815
treechop,176,0.0,375082,0.03367089,0.19081545
treechop,176,0.1,375305,0.00279739,0.01497793
treechop,176,0.25,375639,0.00688169,0.03356814
treechop,176,0.5,376196,0.01999580,0.09048605
treechop,185,0.0,393144,0.03201555,0.18155456
treechop,185,0.1,393300,0.00163347,0.00788617
treechop,185,0.25,393535,0.00024401,0.00151873
treechop,185,0.5,393926,0.00104407,0.00482464
treechop,187,0.0,396784,0.02994665,0.20154476
treechop,187,0.1,397110,0.00493291,0.02292538
treechop,187,0.25,397598,0.02167867,0.09552479
treechop,187,0.5,398412,0.01917167,0.08456755
